carat,depth,price,x,y,z,class
0.22,61.6,404,3.93,3.89,2.41,1
0.22,59.3,404,3.91,3.88,2.31,2
0.3,61,405,4.3,4.33,2.63,2
0.3,59.3,405,4.43,4.38,2.61,3
0.3,62.6,405,4.25,4.28,2.67,2
0.3,63,405,4.28,4.32,2.71,2
0.3,63.2,405,4.25,4.29,2.7,2
0.35,60.9,552,4.54,4.59,2.78,2
0.3,62.6,552,4.23,4.27,2.66,2
0.3,62.5,552,4.29,4.32,2.69,2
0.3,62.1,552,4.3,4.33,2.68,2
0.42,61.5,552,4.78,4.84,2.96,2
0.28,61.4,553,4.19,4.22,2.58,1
0.32,62,553,4.39,4.42,2.73,2
0.31,63.3,553,4.33,4.3,2.73,1
0.31,61.8,553,4.35,4.32,2.68,1
0.24,60.7,553,4.01,4.03,2.44,1
0.24,61.5,553,3.97,4,2.45,2
0.3,63.1,554,4.29,4.27,2.7,2
0.3,62.9,554,4.28,4.24,2.68,2
0.3,62.5,554,4.29,4.25,2.67,2
0.3,63.7,554,4.28,4.26,2.72,2
0.26,59.2,554,4.19,4.22,2.49,3
0.26,59.9,554,4.15,4.23,2.51,1
0.26,62.4,554,4.08,4.13,2.56,2
0.26,62.8,554,4.01,4.05,2.53,2
0.26,62.6,554,4.06,4.09,2.55,1
0.26,63.4,554,4,4.04,2.55,1
0.26,62.1,554,4.03,4.12,2.53,2
0.26,62.9,554,4.02,4.06,2.54,1
0.38,61.6,554,4.65,4.67,2.87,2
0.26,57.9,554,4.22,4.25,2.45,1
0.24,62.3,554,3.95,3.92,2.45,1
0.24,61.2,554,4.01,3.96,2.44,2
0.24,60.8,554,4.02,4,2.44,2
0.24,60.7,554,4.07,4.04,2.46,2
0.32,62.9,554,4.35,4.33,2.73,2
0.7,62.5,2757,5.7,5.72,3.57,1
0.86,55.1,2757,6.45,6.33,3.52,1
0.7,61.6,2757,5.7,5.67,3.5,1
0.71,62.4,2759,5.68,5.73,3.56,1
0.78,63.8,2759,5.81,5.85,3.72,1
0.7,57.5,2759,5.85,5.9,3.38,1
0.7,59.4,2759,5.71,5.76,3.4,3
0.96,66.3,2759,6.27,5.95,4.07,3
0.73,61.6,2760,5.77,5.78,3.56,1
0.8,61.5,2760,5.97,5.93,3.66,2
0.75,63.2,2760,5.8,5.75,3.65,2
0.75,59.9,2760,6,5.96,3.58,1
0.74,61.6,2760,5.8,5.85,3.59,1
0.75,61.7,2760,5.85,5.79,3.59,1
0.8,62.9,2760,5.94,5.87,3.72,2
0.75,62.2,2760,5.87,5.8,3.63,1
0.8,63,2760,5.9,5.81,3.69,1
0.74,62.3,2761,5.77,5.81,3.61,2
0.81,58.8,2761,6.14,6.11,3.6,3
0.59,62,2761,5.38,5.43,3.35,1
0.8,61.4,2761,5.96,6,3.67,3
0.74,62.2,2761,5.8,5.84,3.62,1
0.9,63,2761,6.16,6.12,3.87,2
0.74,62.2,2762,5.73,5.82,3.59,1
0.73,62.6,2762,5.77,5.74,3.6,3
0.73,62.7,2762,5.8,5.75,3.62,3
0.8,61.7,2762,5.98,5.94,3.68,3
0.71,62.4,2762,5.72,5.76,3.58,1
0.7,60.7,2762,5.73,5.76,3.49,1
0.8,59.9,2762,6.01,6.07,3.62,3
0.71,62.3,2762,5.73,5.69,3.56,2
0.74,62.3,2762,5.8,5.83,3.62,1
0.7,61.7,2762,5.64,5.61,3.47,3
0.7,64.5,2762,5.57,5.53,3.58,3
0.7,65.3,2762,5.63,5.58,3.66,3
0.7,61.6,2762,5.65,5.59,3.46,3
0.91,61.4,2763,6.09,5.97,3.7,2
0.61,59.6,2763,5.56,5.58,3.32,2
0.91,64.4,2763,6.11,6.09,3.93,2
0.91,65.7,2763,6.03,5.99,3.95,2
0.77,62,2763,5.89,5.86,3.64,2
0.71,63.6,2764,5.64,5.68,3.6,2
0.71,61.9,2764,5.69,5.72,3.53,2
0.7,62.6,2765,5.62,5.65,3.53,1
0.77,61.3,2765,5.88,5.9,3.61,2
0.63,60.9,2765,5.52,5.55,3.37,1
0.71,60.1,2765,5.74,5.77,3.46,3
0.71,61.8,2765,5.69,5.73,3.53,3
0.76,61.2,2765,5.88,5.91,3.61,2
0.64,61.9,2766,5.53,5.56,3.43,1
0.71,60.9,2766,5.78,5.75,3.51,1
0.71,59.8,2766,5.89,5.81,3.5,1
0.7,61.8,2767,5.68,5.72,3.52,2
0.7,60,2767,5.8,5.87,3.5,3
0.71,61.6,2767,5.74,5.76,3.54,2
0.7,62.1,2767,5.62,5.65,3.5,2
0.71,63.3,2768,5.52,5.61,3.52,1
0.73,60.2,2768,5.83,5.87,3.52,2
0.7,61.1,2768,5.66,5.73,3.48,2
0.7,60.9,2768,5.73,5.76,3.5,1
0.71,61.7,2768,5.71,5.67,3.51,2
0.74,61.3,2769,5.82,5.86,3.57,2
0.71,62.5,2770,5.65,5.61,3.52,2
0.73,61.4,2770,5.83,5.76,3.56,1
0.76,62.9,2770,5.79,5.81,3.65,3
0.76,62.4,2770,5.78,5.83,3.62,2
0.71,60.7,2770,5.77,5.8,3.51,3
0.73,60.7,2770,5.87,5.82,3.55,1
0.73,61.5,2770,5.79,5.75,3.55,1
0.73,59.9,2770,5.92,5.89,3.54,2
0.73,59.2,2770,5.92,5.87,3.49,1
0.72,60.3,2771,5.81,5.83,3.51,2
0.73,61.7,2771,5.79,5.82,3.58,3
0.71,61.9,2771,5.73,5.77,3.56,1
0.79,61.9,2771,5.97,5.92,3.68,3
0.73,60.4,2772,5.83,5.89,3.54,2
0.8,61,2772,6.01,6.03,3.67,3
0.58,61.5,2772,5.39,5.44,3.33,1
0.58,61.7,2772,5.33,5.37,3.3,3
0.71,59.2,2772,5.8,5.88,3.46,1
0.75,61.3,2773,5.85,5.89,3.6,2
0.7,58,2773,5.87,5.78,3.38,2
1.17,60.2,2774,6.83,6.9,4.13,3
0.6,61.7,2774,5.41,5.44,3.35,1
0.7,62.7,2774,5.68,5.74,3.58,1
0.83,64.6,2774,5.85,5.88,3.79,2
0.74,61.3,2775,5.8,5.84,3.57,3
0.72,63.7,2776,5.62,5.69,3.61,1
0.71,62.7,2776,5.74,5.68,3.58,1
0.71,62.2,2776,5.79,5.62,3.55,1
0.54,61.6,2776,5.25,5.27,3.24,1
0.54,61.5,2776,5.24,5.26,3.23,1
0.72,61.8,2776,5.72,5.75,3.55,1
0.72,60.7,2776,5.79,5.82,3.53,1
0.72,59.7,2776,5.8,5.84,3.47,1
0.71,60.5,2776,5.8,5.76,3.5,1
0.7,62.7,2777,5.66,5.73,3.57,2
0.71,62.1,2777,5.67,5.7,3.53,3
0.71,62.8,2777,5.64,5.69,3.56,3
0.71,63.8,2777,5.61,5.64,3.59,3
0.71,57.8,2777,5.87,5.9,3.4,3
0.7,62.1,2777,5.7,5.67,3.53,1
0.7,61.1,2777,5.71,5.64,3.47,1
0.7,60,2777,5.79,5.75,3.46,1
0.7,61.2,2777,5.73,5.68,3.49,1
0.7,62.7,2777,5.67,5.63,3.54,1
0.7,61,2777,5.73,5.68,3.48,1
0.7,61,2777,5.78,5.72,3.51,1
0.7,61.4,2777,5.76,5.7,3.52,1
0.72,61.8,2777,5.82,5.71,3.56,3
0.7,59.9,2777,5.76,5.7,3.43,1
0.7,61.3,2777,5.71,5.68,3.49,1
0.7,60.5,2777,5.77,5.74,3.48,1
0.7,64.1,2777,5.64,5.59,3.6,1
0.98,67.9,2777,6.05,5.97,4.08,2
0.78,62.4,2777,5.83,5.8,3.63,3
0.7,63.2,2777,5.6,5.51,3.51,1
0.52,61.3,2778,5.19,5.22,3.19,3
0.73,60.8,2779,5.82,5.84,3.55,2
0.74,61.7,2779,5.84,5.8,3.59,1
0.7,63.6,2780,5.61,5.65,3.58,3
0.77,61.2,2780,5.9,5.93,3.62,1
0.71,62.1,2780,5.68,5.72,3.54,3
0.74,61.5,2780,5.81,5.86,3.59,1
0.7,61.4,2780,5.64,5.73,3.49,1
1.01,61.8,2781,6.39,6.36,3.94,3
0.77,62.2,2781,5.83,5.88,3.64,2
0.78,61.2,2781,5.92,5.99,3.64,2
0.72,60.6,2782,5.83,5.76,3.51,2
0.53,57.5,2782,5.34,5.37,3.08,2
0.76,61.3,2782,5.9,5.94,3.63,1
0.7,57.2,2782,5.81,5.77,3.31,1
0.7,62.9,2782,5.62,5.54,3.51,1
0.75,63.1,2782,5.78,5.73,3.63,2
0.72,60.8,2782,5.76,5.75,3.5,2
0.72,62.7,2782,5.73,5.69,3.58,2
0.7,62.8,2782,5.68,5.66,3.56,2
0.84,55.1,2782,6.39,6.2,3.47,1
0.75,61.4,2782,5.88,5.85,3.6,3
0.52,62.2,2783,5.14,5.18,3.21,3
0.72,63,2784,5.69,5.73,3.6,3
0.79,63.7,2784,5.85,5.92,3.75,2
0.72,63.6,2787,5.66,5.69,3.61,3
0.51,62,2787,5.11,5.15,3.18,3
0.64,61.5,2787,5.54,5.55,3.41,2
0.7,60.5,2788,5.74,5.77,3.48,2
0.83,61.1,2788,6.07,6.1,3.72,2
0.76,61.8,2788,5.85,5.87,3.62,2
0.71,63.3,2788,5.64,5.68,3.58,2
0.77,59.4,2788,5.97,5.92,3.53,1
0.71,62.5,2788,5.71,5.65,3.55,3
1.01,64.5,2788,6.29,6.21,4.03,1
1.01,62.7,2788,6.31,6.22,3.93,2
0.77,64.2,2789,5.81,5.77,3.72,3
0.76,63.7,2789,5.76,5.85,3.7,1
0.76,60.4,2789,5.92,5.94,3.58,1
0.76,61.8,2789,5.82,5.86,3.61,1
1.05,63.2,2789,6.49,6.45,4.09,3
0.81,61.6,2789,5.97,6.01,3.69,1
0.7,61.6,2789,5.72,5.75,3.53,1
0.55,60.9,2789,5.28,5.3,3.22,1
0.81,61,2789,5.94,5.99,3.64,1
0.63,62.1,2789,5.48,5.41,3.38,1
0.63,60.9,2789,5.55,5.52,3.37,1
0.77,61.3,2789,5.9,5.88,3.61,2
1.05,65.8,2789,6.41,6.27,4.18,3
0.64,61.3,2790,5.54,5.58,3.41,1
0.76,58.8,2790,6,5.94,3.51,2
0.83,62.3,2790,6.02,6.05,3.76,3
0.71,60.1,2790,5.77,5.74,3.46,3
0.71,61.8,2790,5.73,5.69,3.53,3
0.87,63.6,2791,6.07,6.1,3.87,2
0.73,62.2,2791,5.74,5.78,3.58,1
0.71,59.2,2792,5.83,5.86,3.46,1
0.71,61.8,2792,5.7,5.75,3.54,1
0.71,61.3,2792,5.72,5.77,3.52,1
0.7,62.1,2792,5.71,5.65,3.53,3
0.7,60.7,2792,5.78,5.75,3.5,3
0.76,59.6,2792,5.91,5.86,3.51,2
0.7,62.2,2792,5.73,5.68,3.55,3
0.79,60.6,2793,5.98,6.06,3.65,1
0.7,62.9,2793,5.66,5.69,3.57,1
0.7,64.1,2793,5.6,5.66,3.61,1
0.76,61.3,2793,5.87,5.91,3.61,2
0.73,62.7,2793,5.72,5.76,3.6,2
0.79,63.2,2794,5.91,5.86,3.72,1
0.71,60.7,2795,5.81,5.82,3.53,1
0.81,61.9,2795,5.91,5.86,3.64,2
0.81,62.6,2795,5.92,5.96,3.72,3
0.72,60.7,2795,5.74,5.72,3.48,3
0.72,62,2795,5.73,5.69,3.54,2
0.72,63,2795,5.72,5.7,3.6,2
0.81,58,2795,6.17,6.13,3.57,2
0.72,62.9,2795,5.73,5.65,3.58,1
1,58.2,2795,6.61,6.55,3.83,2
0.73,63.2,2796,5.7,5.76,3.62,1
0.81,61.3,2797,5.94,6.01,3.66,2
0.81,60.3,2797,6.07,6.1,3.67,1
0.71,62.7,2797,5.67,5.71,3.57,2
0.71,61.3,2797,5.73,5.75,3.52,2
0.71,61.6,2797,5.74,5.69,3.52,2
0.57,61.9,2797,5.34,5.35,3.31,3
0.51,61.7,2797,5.12,5.16,3.17,2
0.72,61.9,2797,5.72,5.75,3.55,1
0.74,61.8,2797,5.77,5.81,3.58,2
0.74,61.6,2797,5.81,5.82,3.58,2
0.7,58.8,2797,5.81,5.9,3.44,1
0.8,61,2797,6.03,6.01,3.67,3
1.01,67.4,2797,6.19,6.05,4.13,1
0.8,63.4,2797,5.92,5.82,3.72,2
0.77,61.5,2798,5.87,5.91,3.62,2
0.83,58,2799,6.19,6.25,3.61,1
0.82,62.4,2799,5.97,6.02,3.74,3
0.78,61.9,2799,5.91,5.86,3.64,2
0.6,61.6,2800,5.43,5.46,3.35,1
0.9,62.2,2800,6.07,6.11,3.79,2
0.7,62.2,2800,5.6,5.66,3.5,1
0.9,61.3,2800,6.17,6.23,3.8,2
0.83,62.3,2800,5.99,6.08,3.76,1
0.83,61.8,2800,6.03,6.07,3.74,1
0.83,62.5,2800,5.95,6.02,3.74,2
0.74,62.9,2800,5.74,5.68,3.59,1
0.79,61.8,2800,5.92,5.95,3.67,2
0.61,62.3,2800,5.43,5.45,3.39,1
0.76,59,2800,5.89,5.8,3.46,1
0.96,60.7,2801,6.37,6.41,3.88,3
0.73,62.5,2801,5.8,5.76,3.61,3
0.73,62.7,2801,5.76,5.7,3.59,3
0.75,60.4,2801,5.93,5.96,3.59,2
0.71,62.1,2801,5.7,5.67,3.53,3
0.71,57.8,2801,5.9,5.87,3.4,3
0.71,63.8,2801,5.64,5.61,3.59,3
0.71,62.8,2801,5.69,5.64,3.56,3
1.04,62.2,2801,6.46,6.41,4,1
1,62.3,2801,6.45,6.34,3.98,3
0.87,59.9,2802,6.19,6.23,3.72,1
0.53,61.9,2802,5.22,5.25,3.24,3
0.72,63,2802,5.79,5.61,3.59,1
0.72,62.4,2802,5.83,5.7,3.6,3
0.7,62.9,2803,5.63,5.65,3.55,3
0.74,63.5,2803,5.74,5.79,3.66,1
0.71,61.3,2803,5.75,5.71,3.51,1
0.73,60.6,2803,5.84,5.89,3.55,1
0.7,65.1,2803,5.56,5.59,3.63,1
0.71,62.6,2803,5.7,5.67,3.56,3
0.71,58,2803,5.85,5.81,3.38,3
0.71,62.4,2803,5.7,5.65,3.54,1
0.77,61.3,2803,5.93,5.88,3.62,1
0.71,59.9,2803,5.81,5.77,3.47,1
0.78,60.8,2803,6.03,5.95,3.64,1
0.71,63.5,2803,5.66,5.64,3.59,1
0.91,62.2,2803,6.21,6.15,3.85,2
0.71,63.8,2804,5.62,5.66,3.6,1
0.71,64,2804,5.66,5.68,3.63,1
0.8,62.5,2804,5.88,5.96,3.7,1
0.7,62.3,2804,5.69,5.73,3.56,2
0.72,61.7,2804,5.74,5.77,3.55,3
0.72,62.2,2804,5.75,5.7,3.56,3
0.82,61.5,2804,6.01,6.08,3.72,2
0.7,61,2804,5.68,5.7,3.47,2
0.72,62.2,2804,5.74,5.77,3.58,2
0.72,61.5,2804,5.77,5.8,3.56,2
0.9,67.3,2804,5.93,5.84,3.96,2
0.74,61.7,2805,5.85,5.78,3.59,3
0.74,61.9,2805,5.8,5.77,3.58,3
0.73,61.8,2805,5.77,5.81,3.58,1
0.57,58.7,2805,5.34,5.43,3.16,1
0.73,62.5,2805,5.75,5.7,3.58,3
0.72,62.8,2805,5.74,5.7,3.59,1
0.74,61.1,2805,5.82,5.75,3.53,3
0.82,64,2805,5.92,5.89,3.78,1
0.81,62.5,2806,5.89,5.94,3.69,1
0.75,60.6,2806,5.85,5.9,3.56,2
0.7,61.6,2806,5.72,5.74,3.53,3
0.71,62.2,2807,5.66,5.72,3.54,3
0.71,60,2807,5.84,5.9,3.52,3
0.93,61.9,2807,6.21,6.19,3.84,3
0.8,62.8,2808,5.87,5.91,3.7,2
0.7,62,2808,5.64,5.71,3.52,3
1,66.4,2808,6.16,6.09,4.07,1
0.75,63.4,2808,5.78,5.74,3.65,1
0.58,60.9,2808,5.41,5.43,3.3,1
0.73,63.1,2808,5.74,5.7,3.61,2
0.81,63.1,2809,5.85,5.79,3.67,3
0.81,59.2,2809,6.15,6.05,3.61,2
0.71,60.7,2809,5.84,5.8,3.53,3
1.2,64.6,2809,6.73,6.66,4.33,3
0.7,61.8,2810,5.63,5.7,3.5,3
0.7,59.9,2810,5.77,5.84,3.48,3
0.74,61.7,2810,5.81,5.85,3.6,2
0.7,62.8,2810,5.57,5.61,3.51,3
0.8,62.7,2810,5.84,5.93,3.69,1
0.75,63.4,2811,5.72,5.76,3.64,3
0.83,63.5,2811,5.98,5.95,3.79,2
1,65.7,2811,6.14,6.07,4.01,3
0.99,68.1,2811,6.21,6.06,4.18,2
0.7,63,2812,5.57,5.64,3.53,1
0.7,59.5,2812,5.75,5.85,3.45,3
0.7,63.5,2812,5.49,5.53,3.5,1
0.7,61.7,2812,5.63,5.69,3.49,3
0.32,62.7,554,4.37,4.34,2.73,2
0.32,62.8,554,4.39,4.34,2.74,2
0.32,62.4,554,4.37,4.35,2.72,2
0.32,61,554,4.39,4.36,2.67,2
0.32,63.1,554,4.39,4.36,2.76,2
0.32,60.7,554,4.47,4.42,2.7,2
0.3,60.9,554,4.31,4.29,2.62,2
0.3,60.1,554,4.41,4.38,2.64,2
0.3,62.9,554,4.28,4.24,2.68,2
0.3,63.3,554,4.29,4.27,2.71,2
0.3,63.8,554,4.26,4.2,2.7,2
0.3,62.9,554,4.27,4.22,2.67,2
0.3,63.4,554,4.25,4.23,2.69,2
0.32,63.9,554,4.36,4.34,2.78,2
0.33,61.4,554,4.85,4.79,2.95,2
0.29,61.9,555,4.28,4.33,2.66,1
0.29,62.4,555,4.2,4.25,2.63,1
0.31,61.8,555,4.32,4.35,2.68,3
0.34,61.5,555,4.47,4.5,2.76,2
0.34,60.4,555,4.54,4.57,2.75,2
0.34,61.8,555,4.48,4.52,2.78,2
0.34,62,555,4.5,4.53,2.8,2
0.3,62.3,555,4.29,4.31,2.68,1
0.29,61.6,555,4.26,4.31,2.64,3
0.35,60.6,555,4.56,4.58,2.77,1
0.43,58.4,555,4.94,5,2.9,1
0.32,61.4,556,4.37,4.42,2.7,3
0.36,61.9,556,4.54,4.57,2.82,2
0.3,62,556,4.28,4.3,2.66,1
0.26,61.5,556,4.09,4.12,2.52,1
0.7,62.3,2812,5.64,5.72,3.54,3
0.7,60.9,2812,5.66,5.71,3.46,3
0.71,62.4,2812,5.69,5.72,3.56,2
0.99,55,2812,6.72,6.67,3.68,3
0.73,58.6,2812,5.92,5.89,3.46,1
0.51,62,2812,5.15,5.11,3.18,3
0.91,59.8,2813,6.3,6.29,3.77,1
0.84,63.4,2813,6,5.95,3.79,1
0.91,64.3,2813,6.09,6.05,3.9,2
0.76,62.2,2814,5.86,5.81,3.63,1
0.76,61.7,2814,5.88,5.85,3.62,1
0.75,61.1,2814,5.86,5.83,3.57,1
0.55,61.5,2815,5.23,5.27,3.23,2
0.76,58.5,2815,5.93,6.01,3.49,3
0.74,61.7,2815,5.79,5.81,3.58,1
0.7,60.4,2815,5.75,5.81,3.49,2
0.7,61.4,2815,5.7,5.76,3.52,2
0.7,61.5,2815,5.73,5.79,3.54,2
0.7,61.4,2815,5.72,5.77,3.53,2
0.9,65,2815,6.08,6.04,3.94,3
0.95,56,2815,6.62,6.53,3.68,3
0.89,60.2,2815,6.26,6.23,3.76,2
0.72,58.3,2815,5.99,5.92,3.47,1
0.96,53.1,2815,6.73,6.65,3.55,1
1.02,60.3,2815,6.55,6.5,3.94,1
0.78,61.4,2816,5.91,5.95,3.64,2
0.61,60.1,2816,5.52,5.54,3.32,1
0.71,63.4,2816,5.61,5.69,3.58,2
0.78,61.5,2816,5.96,5.88,3.64,3
0.87,62.7,2816,6.16,6.13,3.85,2
0.83,62.5,2816,6.04,6,3.76,2
0.71,61.3,2817,5.78,5.73,3.53,1
0.71,60.2,2817,5.84,5.89,3.53,2
0.71,62.7,2817,5.66,5.64,3.54,1
0.71,62.3,2817,5.69,5.65,3.53,1
0.63,61.5,2817,5.48,5.52,3.38,3
0.71,59.2,2817,5.86,5.83,3.46,1
0.71,61.8,2817,5.75,5.7,3.54,1
0.71,61.3,2817,5.77,5.72,3.52,1
0.71,61.4,2817,5.77,5.73,3.53,1
0.9,62.8,2817,6.2,6.16,3.88,3
0.71,62.8,2817,5.6,5.54,3.5,1
0.7,62.4,2818,5.66,5.63,3.52,1
0.7,59.3,2818,5.78,5.73,3.41,1
0.7,63,2818,5.64,5.6,3.54,1
1,61.3,2818,6.43,6.39,3.93,2
0.86,59.3,2818,6.36,6.22,3.73,3
0.8,61,2818,6.07,6,3.68,2
0.7,62.9,2818,5.66,5.61,3.54,1
0.7,59.6,2818,5.91,5.83,3.5,1
0.7,61.8,2818,5.69,5.64,3.5,3
0.7,62.7,2818,5.68,5.64,3.55,1
1,65.3,2818,6.34,6.12,4.08,2
0.72,63.8,2819,5.64,5.68,3.61,1
0.72,62.3,2819,5.73,5.77,3.58,2
0.7,59.7,2819,5.76,5.79,3.45,3
0.86,64.3,2819,5.97,5.95,3.83,3
0.71,62.9,2820,5.66,5.69,3.57,1
0.75,62,2821,5.8,5.78,3.59,1
0.73,61.6,2821,5.77,5.73,3.54,1
0.53,61.9,2821,5.2,5.21,3.22,1
0.73,61.3,2821,5.83,5.76,3.55,1
0.73,63.6,2821,5.72,5.7,3.63,1
0.73,59.6,2821,5.92,5.85,3.51,1
0.73,62.2,2821,5.77,5.68,3.56,1
0.73,61.7,2821,5.84,5.82,3.6,2
0.73,63.2,2821,5.76,5.7,3.62,1
0.7,60.8,2822,5.74,5.71,3.48,1
0.72,60.3,2822,5.84,5.8,3.51,1
0.72,60.9,2822,5.8,5.76,3.52,1
0.72,62.4,2822,5.77,5.7,3.58,1
0.7,60.2,2822,5.73,5.7,3.44,1
0.6,62,2822,5.37,5.4,3.34,3
0.74,60.8,2822,5.85,5.89,3.57,2
0.73,62.1,2822,5.75,5.78,3.58,3
0.71,62.7,2822,5.71,5.67,3.57,2
0.71,61.3,2822,5.75,5.73,3.52,2
0.7,60.2,2822,5.82,5.75,3.48,2
0.7,60.7,2822,5.75,5.72,3.48,2
0.9,64,2822,6.04,6.03,3.86,3
0.71,60.2,2822,5.86,5.83,3.52,2
0.7,61.5,2822,5.73,5.68,3.51,1
0.7,62.6,2822,5.71,5.66,3.56,1
0.7,59.7,2822,5.82,5.77,3.46,2
0.7,61.4,2822,5.71,5.66,3.49,1
0.7,62.5,2822,5.62,5.59,3.51,2
0.7,61.8,2822,5.73,5.63,3.51,2
0.7,60.7,2822,5.72,5.68,3.46,1
0.7,60.6,2822,5.8,5.72,3.49,3
0.7,61.4,2822,5.75,5.71,3.52,2
0.79,62.8,2823,5.86,5.9,3.69,2
0.9,63.8,2823,6.06,6.13,3.89,2
0.71,62.3,2823,5.71,5.66,3.54,1
0.61,61.3,2823,5.51,5.59,3.4,1
0.9,65.8,2823,6.05,5.98,3.96,2
0.71,60.5,2823,5.77,5.73,3.47,1
0.71,61.2,2824,5.74,5.69,3.5,2
0.77,62.1,2824,5.84,5.86,3.63,2
0.74,63.1,2824,5.73,5.75,3.62,1
0.82,62.4,2824,6.02,5.97,3.74,3
0.82,60.8,2824,6.05,6.03,3.67,1
0.71,62.2,2825,5.73,5.66,3.54,1
0.83,60,2825,6.08,6.05,3.64,2
0.73,62,2825,5.75,5.8,3.58,1
0.83,62.5,2825,6.02,5.95,3.74,2
1.17,60.2,2825,6.9,6.83,4.13,3
0.91,61.3,2825,6.24,6.19,3.81,2
0.73,62.6,2826,5.75,5.68,3.58,1
0.7,57.2,2826,5.94,5.88,3.38,1
0.9,62.2,2826,6.11,6.07,3.79,2
0.7,62.2,2826,5.66,5.6,3.5,1
0.7,63.3,2826,5.6,5.58,3.54,2
0.7,59.4,2826,5.78,5.74,3.42,1
0.9,63.5,2826,6.17,6.07,3.88,2
0.78,60.8,2826,5.97,5.94,3.62,3
0.96,60.7,2826,6.41,6.37,3.88,3
0.7,62.3,2827,5.67,5.7,3.54,2
0.72,64,2827,5.68,5.7,3.64,2
0.79,62.6,2827,5.96,5.9,3.71,2
0.7,61.6,2827,5.69,5.74,3.52,2
0.7,62.3,2827,5.66,5.7,3.54,2
0.7,60.6,2828,5.74,5.77,3.49,2
1.01,61.6,2828,6.39,6.31,3.91,2
0.72,62.2,2829,5.75,5.7,3.56,3
0.8,63.7,2829,5.91,5.87,3.75,1
0.59,62,2829,5.36,5.38,3.33,1
0.72,61.7,2829,5.77,5.74,3.55,3
0.75,61.9,2829,5.88,5.82,3.62,1
0.8,60.2,2829,6.05,6.01,3.63,1
0.71,62.7,2830,5.65,5.7,3.56,1
0.77,61.7,2830,5.84,5.89,3.62,2
0.97,60.7,2830,6.41,6.43,3.9,3
0.53,60.9,2830,5.23,5.29,3.19,3
0.53,61.8,2830,5.16,5.19,3.2,3
0.8,62.1,2830,5.94,5.99,3.7,2
0.9,60.6,2830,6.21,6.13,3.74,1
0.76,60.8,2831,5.89,5.98,3.61,1
0.72,62.3,2831,5.7,5.76,3.57,1
0.75,61.4,2831,5.82,5.87,3.59,1
0.72,62.1,2831,5.73,5.76,3.57,1
0.79,61.8,2831,5.93,5.91,3.66,1
0.72,62.5,2832,5.71,5.75,3.58,3
0.91,62.8,2832,6.15,6.18,3.87,2
0.71,62.1,2832,5.75,5.65,3.54,1
0.81,63,2832,5.87,5.81,3.68,1
0.82,62.5,2832,5.91,5.97,3.71,2
0.71,62.2,2832,5.72,5.66,3.54,3
0.9,64.3,2832,6.05,6.01,3.88,3
0.8,62,2833,5.86,5.95,3.66,2
